"week","site","neon","nee_diff.avg","nee_diff.upper","nee_diff.lower"
 1,"Harvard","BART", 2.829155e-02, 9.377116e-02,-3.718807e-02
 2,"Harvard","BART", 1.646985e-01, 2.191140e-01, 1.102831e-01
 3,"Harvard","BART", 2.012581e-01, 2.801450e-01, 1.223711e-01
 4,"Harvard","BART", 1.987906e-01, 2.781615e-01, 1.194198e-01
 5,"Harvard","BART",-1.185506e-01, 1.702733e-02,-2.541285e-01
 6,"Harvard","BART",-6.613953e-03, 6.491043e-02,-7.813834e-02
 7,"Harvard","BART", 2.222173e-01, 3.043164e-01, 1.401182e-01
 8,"Harvard","BART", 8.280633e-02, 1.537883e-01, 1.182440e-02
 9,"Harvard","BART",-1.215298e-02, 8.862195e-02,-1.129279e-01
10,"Harvard","BART",-1.000241e-02, 9.223734e-02,-1.122422e-01
11,"Harvard","BART", 1.808885e-01, 2.801310e-01, 8.164597e-02
12,"Harvard","BART", 7.175714e-01, 8.143059e-01, 6.208370e-01
13,"Harvard","BART", 1.019541e+00, 1.102952e+00, 9.361296e-01
14,"Harvard","BART", 1.083764e+00, 1.162862e+00, 1.004665e+00
15,"Harvard","BART", 1.457371e+00, 1.559208e+00, 1.355533e+00
16,"Harvard","BART", 1.694726e+00, 1.799033e+00, 1.590419e+00
17,"Harvard","BART", 2.103321e+00, 2.265622e+00, 1.941020e+00
18,"Harvard","BART", 2.789359e+00, 2.952899e+00, 2.625819e+00
19,"Harvard","BART", 3.730618e+00, 3.966001e+00, 3.495234e+00
20,"Harvard","BART", 4.980865e+00, 5.285429e+00, 4.676301e+00
21,"Harvard","BART", 5.897583e+00, 6.263792e+00, 5.531375e+00
22,"Harvard","BART", 8.885378e+00, 9.370548e+00, 8.400207e+00
23,"Harvard","BART", 1.002483e+01, 1.042907e+01, 9.620588e+00
24,"Harvard","BART", 1.138951e+01, 1.189268e+01, 1.088634e+01
25,"Harvard","BART", 1.189280e+01, 1.237906e+01, 1.140655e+01
26,"Harvard","BART", 1.228052e+01, 1.281867e+01, 1.174237e+01
27,"Harvard","BART", 1.262540e+01, 1.315012e+01, 1.210069e+01
28,"Harvard","BART", 1.350154e+01, 1.403641e+01, 1.296666e+01
29,"Harvard","BART", 1.253938e+01, 1.305152e+01, 1.202723e+01
30,"Harvard","BART", 1.265076e+01, 1.316230e+01, 1.213922e+01
31,"Harvard","BART", 1.200704e+01, 1.244139e+01, 1.157268e+01
32,"Harvard","BART", 1.221969e+01, 1.269816e+01, 1.174121e+01
33,"Harvard","BART", 1.192750e+01, 1.236385e+01, 1.149115e+01
34,"Harvard","BART", 1.250365e+01, 1.294553e+01, 1.206178e+01
35,"Harvard","BART", 1.185798e+01, 1.232042e+01, 1.139555e+01
36,"Harvard","BART", 9.679616e+00, 1.010875e+01, 9.250479e+00
37,"Harvard","BART", 9.360096e+00, 9.813716e+00, 8.906476e+00
38,"Harvard","BART", 9.092394e+00, 9.505584e+00, 8.679205e+00
39,"Harvard","BART", 7.527908e+00, 7.869396e+00, 7.186420e+00
40,"Harvard","BART", 6.243425e+00, 6.546761e+00, 5.940089e+00
41,"Harvard","BART", 4.400802e+00, 4.609754e+00, 4.191851e+00
42,"Harvard","BART", 2.739341e+00, 2.918154e+00, 2.560528e+00
43,"Harvard","BART", 1.962421e+00, 2.106509e+00, 1.818333e+00
44,"Harvard","BART", 1.370910e+00, 1.464012e+00, 1.277809e+00
45,"Harvard","BART", 1.389247e+00, 1.497806e+00, 1.280689e+00
46,"Harvard","BART", 8.646886e-01, 9.569865e-01, 7.723907e-01
47,"Harvard","BART", 6.644766e-01, 7.430456e-01, 5.859077e-01
48,"Harvard","BART", 6.016696e-01, 6.751733e-01, 5.281659e-01
49,"Harvard","BART", 2.597703e-01, 3.222944e-01, 1.972461e-01
50,"Harvard","BART", 1.663225e-01, 2.426480e-01, 8.999705e-02
51,"Harvard","BART",-1.187152e-02, 6.108572e-02,-8.482877e-02
52,"Harvard","BART",-8.326870e-02, 3.077248e-02,-1.973099e-01
53,"Harvard","BART",-5.958040e-01,-3.079825e-01,-8.836255e-01
 1,"ARM","KONZ", 3.552276e-01, 5.710243e-01, 1.394310e-01
 2,"ARM","KONZ", 5.157804e-01, 7.290649e-01, 3.024958e-01
 3,"ARM","KONZ", 4.517346e-01, 6.270917e-01, 2.763775e-01
 4,"ARM","KONZ", 3.536466e-01, 5.475239e-01, 1.597693e-01
 5,"ARM","KONZ", 4.324861e-01, 6.693752e-01, 1.955970e-01
 6,"ARM","KONZ", 4.700696e-01, 7.117587e-01, 2.283805e-01
 7,"ARM","KONZ", 4.733966e-01, 6.765090e-01, 2.702841e-01
 8,"ARM","KONZ", 3.642755e-01, 5.966093e-01, 1.319416e-01
 9,"ARM","KONZ", 5.453238e-01, 7.582840e-01, 3.323635e-01
10,"ARM","KONZ", 4.628428e-01, 6.384446e-01, 2.872410e-01
11,"ARM","KONZ", 5.990127e-01, 7.453308e-01, 4.526947e-01
12,"ARM","KONZ", 5.074294e-01, 7.504306e-01, 2.644283e-01
13,"ARM","KONZ", 9.905407e-02, 3.038868e-01,-1.057786e-01
14,"ARM","KONZ", 8.039020e-01, 1.138898e+00, 4.689063e-01
15,"ARM","KONZ", 2.203132e+00, 2.775151e+00, 1.631112e+00
16,"ARM","KONZ", 3.307569e+00, 4.161875e+00, 2.453263e+00
17,"ARM","KONZ", 3.770184e+00, 4.216190e+00, 3.324178e+00
18,"ARM","KONZ", 6.193331e+00, 7.259683e+00, 5.126979e+00
19,"ARM","KONZ", 8.106906e+00, 9.333604e+00, 6.880207e+00
20,"ARM","KONZ", 8.984817e+00, 1.060353e+01, 7.366104e+00
21,"ARM","KONZ", 1.078212e+01, 1.188795e+01, 9.676286e+00
22,"ARM","KONZ", 9.433374e+00, 1.025340e+01, 8.613349e+00
23,"ARM","KONZ", 9.598869e+00, 1.120061e+01, 7.997125e+00
24,"ARM","KONZ", 8.126097e+00, 9.075108e+00, 7.177086e+00
25,"ARM","KONZ", 8.790187e+00, 1.039729e+01, 7.183090e+00
26,"ARM","KONZ", 7.865776e+00, 9.064219e+00, 6.667332e+00
27,"ARM","KONZ", 8.208906e+00, 9.453195e+00, 6.964617e+00
28,"ARM","KONZ", 1.268541e+01, 1.447354e+01, 1.089729e+01
29,"ARM","KONZ", 9.012080e+00, 1.102539e+01, 6.998765e+00
30,"ARM","KONZ", 8.310130e+00, 9.723143e+00, 6.897116e+00
31,"ARM","KONZ", 6.158969e+00, 7.415277e+00, 4.902662e+00
32,"ARM","KONZ", 3.425287e+00, 4.312288e+00, 2.538287e+00
33,"ARM","KONZ", 5.426417e+00, 7.103572e+00, 3.749263e+00
34,"ARM","KONZ", 5.578912e+00, 6.634881e+00, 4.522942e+00
35,"ARM","KONZ", 8.558547e+00, 9.907005e+00, 7.210088e+00
36,"ARM","KONZ", 6.484481e+00, 7.559384e+00, 5.409577e+00
37,"ARM","KONZ", 5.967616e+00, 7.112399e+00, 4.822834e+00
38,"ARM","KONZ", 5.608657e+00, 6.128824e+00, 5.088491e+00
39,"ARM","KONZ", 5.676747e+00, 6.653652e+00, 4.699842e+00
40,"ARM","KONZ", 2.668395e+00, 3.052370e+00, 2.284420e+00
41,"ARM","KONZ", 2.454227e+00, 2.826177e+00, 2.082276e+00
42,"ARM","KONZ", 1.482798e+00, 1.821909e+00, 1.143687e+00
43,"ARM","KONZ", 5.976490e-01, 7.923513e-01, 4.029467e-01
44,"ARM","KONZ", 8.884335e-01, 1.147741e+00, 6.291256e-01
45,"ARM","KONZ", 9.035737e-01, 1.107870e+00, 6.992771e-01
46,"ARM","KONZ", 3.578169e-01, 6.440059e-01, 7.162785e-02
47,"ARM","KONZ", 8.325241e-01, 1.020117e+00, 6.449317e-01
48,"ARM","KONZ", 6.552927e-01, 8.785142e-01, 4.320711e-01
49,"ARM","KONZ", 8.584596e-01, 1.045798e+00, 6.711216e-01
50,"ARM","KONZ", 8.116629e-01, 1.016067e+00, 6.072588e-01
51,"ARM","KONZ", 6.472194e-01, 8.729487e-01, 4.214900e-01
52,"ARM","KONZ", 5.706661e-01, 8.098220e-01, 3.315102e-01
53,"ARM","KONZ", 1.220962e+00, 1.371115e+00, 1.070809e+00
 1,"Washita","KONZ",-1.717935e+00,-1.255946e+00,-2.179923e+00
 2,"Washita","KONZ",-8.183126e-01,-6.590433e-01,-9.775818e-01
 3,"Washita","KONZ",-2.217292e+00,-1.616049e+00,-2.818535e+00
 4,"Washita","KONZ",-1.128238e+00,-7.449827e-01,-1.511492e+00
 5,"Washita","KONZ",-2.538779e+00,-1.821179e+00,-3.256379e+00
 6,"Washita","KONZ",-6.834738e-01,-3.696138e-01,-9.973337e-01
 7,"Washita","KONZ",-1.158732e+00,-8.023651e-01,-1.515099e+00
 8,"Washita","KONZ",-2.744275e+00,-2.109469e+00,-3.379082e+00
 9,"Washita","KONZ",-1.759426e+00,-9.311133e-01,-2.587739e+00
10,"Washita","KONZ",-2.884908e+00,-1.874490e+00,-3.895325e+00
11,"Washita","KONZ",-3.245281e+00,-2.295532e+00,-4.195030e+00
12,"Washita","KONZ",-2.150309e+00,-1.406127e+00,-2.894492e+00
13,"Washita","KONZ",-5.851492e-01,-2.962422e-01,-8.740562e-01
14,"Washita","KONZ",-6.657539e-02, 3.438349e-01,-4.769857e-01
15,"Washita","KONZ", 3.645628e-01, 8.027481e-01,-7.362253e-02
16,"Washita","KONZ", 9.318576e-01, 1.171212e+00, 6.925035e-01
17,"Washita","KONZ", 7.577727e-01, 9.854410e-01, 5.301044e-01
18,"Washita","KONZ", 1.981810e+00, 2.241730e+00, 1.721891e+00
19,"Washita","KONZ", 2.866600e+00, 3.335637e+00, 2.397563e+00
20,"Washita","KONZ", 3.406773e+00, 4.075331e+00, 2.738215e+00
21,"Washita","KONZ", 2.962523e+00, 3.453885e+00, 2.471161e+00
22,"Washita","KONZ", 4.306440e+00, 5.519976e+00, 3.092903e+00
23,"Washita","KONZ", 4.747075e+00, 5.430023e+00, 4.064127e+00
24,"Washita","KONZ", 2.897803e+00, 3.781298e+00, 2.014309e+00
25,"Washita","KONZ", 3.975497e+00, 4.889017e+00, 3.061976e+00
26,"Washita","KONZ", 3.116150e+00, 4.122369e+00, 2.109932e+00
27,"Washita","KONZ", 2.689560e+00, 3.544213e+00, 1.834906e+00
28,"Washita","KONZ", 1.064278e+00, 1.320276e+00, 8.082805e-01
29,"Washita","KONZ", 2.215814e+00, 3.073923e+00, 1.357705e+00
30,"Washita","KONZ", 1.145552e+00, 1.943709e+00, 3.473957e-01
31,"Washita","KONZ", 1.225680e+00, 2.136337e+00, 3.150227e-01
32,"Washita","KONZ", 1.147304e+00, 1.957801e+00, 3.368063e-01
33,"Washita","KONZ", 7.044152e-01, 1.262768e+00, 1.460625e-01
34,"Washita","KONZ", 8.682564e-01, 1.386706e+00, 3.498071e-01
35,"Washita","KONZ", 1.578431e-01, 4.994227e-01,-1.837365e-01
36,"Washita","KONZ",-1.030056e-01, 5.545402e-01,-7.605515e-01
37,"Washita","KONZ", 1.400931e-01, 6.781137e-01,-3.979275e-01
38,"Washita","KONZ",-3.002425e-01,-1.253061e-03,-5.992319e-01
39,"Washita","KONZ", 1.075577e+00, 1.490657e+00, 6.604961e-01
40,"Washita","KONZ", 1.310337e+00, 1.652491e+00, 9.681822e-01
41,"Washita","KONZ", 1.672309e+00, 1.911575e+00, 1.433043e+00
42,"Washita","KONZ",-1.034256e-01, 4.539658e-01,-6.608169e-01
43,"Washita","KONZ",-4.085071e-02, 1.784671e-01,-2.601685e-01
44,"Washita","KONZ",-9.621958e-01,-3.822213e-01,-1.542170e+00
45,"Washita","KONZ",-1.619529e+00,-8.522872e-01,-2.386772e+00
46,"Washita","KONZ",-2.420459e-01, 2.545711e-01,-7.386630e-01
47,"Washita","KONZ",-2.748965e-01, 1.655622e-01,-7.153553e-01
48,"Washita","KONZ", 3.462337e-01, 6.924016e-01, 6.582171e-05
49,"Washita","KONZ",-1.463054e-01, 1.872026e-01,-4.798134e-01
50,"Washita","KONZ",-6.560824e-01,-3.274783e-01,-9.846865e-01
51,"Washita","KONZ",-5.022918e-01,-3.447982e-01,-6.597854e-01
52,"Washita","KONZ",-4.576208e-01,-3.178608e-01,-5.973807e-01
53,"Washita","KONZ",-5.411783e-01,-2.925616e-01,-7.897951e-01
 1,"Kennedy","OSBS", 8.408560e+00, 8.580665e+00, 8.236455e+00
 2,"Kennedy","OSBS", 8.231824e+00, 8.328268e+00, 8.135379e+00
 3,"Kennedy","OSBS", 8.310914e+00, 8.414215e+00, 8.207612e+00
 4,"Kennedy","OSBS", 8.245391e+00, 8.338382e+00, 8.152399e+00
 5,"Kennedy","OSBS", 8.231824e+00, 8.328268e+00, 8.135379e+00
 6,"Kennedy","OSBS", 8.184997e+00, 8.295201e+00, 8.074793e+00
 7,"Kennedy","OSBS", 8.069795e+00, 8.159433e+00, 7.980157e+00
 8,"Kennedy","OSBS", 7.978690e+00, 8.099578e+00, 7.857801e+00
 9,"Kennedy","OSBS", 6.958970e+00, 7.403617e+00, 6.514323e+00
10,"Kennedy","OSBS", 6.965709e+00, 7.619701e+00, 6.311716e+00
11,"Kennedy","OSBS", 6.594064e+00, 7.439861e+00, 5.748267e+00
12,"Kennedy","OSBS", 4.804872e+00, 5.420476e+00, 4.189268e+00
13,"Kennedy","OSBS", 5.296695e+00, 6.046341e+00, 4.547050e+00
14,"Kennedy","OSBS", 5.519632e+00, 7.333292e+00, 3.705972e+00
15,"Kennedy","OSBS", 5.263654e+00, 7.140400e+00, 3.386909e+00
16,"Kennedy","OSBS", 1.003857e+01, 1.057315e+01, 9.503996e+00
17,"Kennedy","OSBS", 6.112557e+00, 7.851486e+00, 4.373628e+00
18,"Kennedy","OSBS", 8.365188e+00, 9.753694e+00, 6.976682e+00
19,"Kennedy","OSBS", 3.378305e+00, 3.559191e+00, 3.197419e+00
20,"Kennedy","OSBS", 8.443724e+00, 9.478199e+00, 7.409249e+00
21,"Kennedy","OSBS", 7.885741e+00, 9.509012e+00, 6.262469e+00
22,"Kennedy","OSBS", 7.784671e+00, 9.782093e+00, 5.787249e+00
