"week","site","neon","nee_diff.avg","nee_diff.upper","nee_diff.lower"
23,"Kennedy","OSBS", 5.176994e+00, 6.854764e+00, 3.499225e+00
24,"Kennedy","OSBS", 5.392923e+00, 7.295218e+00, 3.490627e+00
25,"Kennedy","OSBS", 6.623725e+00, 7.493236e+00, 5.754213e+00
26,"Kennedy","OSBS", 9.533788e+00, 1.016914e+01, 8.898437e+00
27,"Kennedy","OSBS", 1.012318e+01, 1.096268e+01, 9.283691e+00
28,"Kennedy","OSBS", 7.799700e+00, 8.790603e+00, 6.808796e+00
29,"Kennedy","OSBS", 9.181702e+00, 1.064042e+01, 7.722983e+00
30,"Kennedy","OSBS", 1.223006e+01, 1.256671e+01, 1.189342e+01
31,"Kennedy","OSBS", 9.728126e+00, 1.063890e+01, 8.817355e+00
32,"Kennedy","OSBS", 9.703372e+00, 1.126359e+01, 8.143155e+00
33,"Kennedy","OSBS", 7.435732e+00, 9.192447e+00, 5.679018e+00
34,"Kennedy","OSBS", 9.013519e+00, 9.702932e+00, 8.324105e+00
35,"Kennedy","OSBS", 7.931673e+00, 8.532618e+00, 7.330729e+00
36,"Kennedy","OSBS", 3.684727e+00, 4.587573e+00, 2.781881e+00
37,"Kennedy","OSBS", 7.589131e+00, 8.996796e+00, 6.181467e+00
38,"Kennedy","OSBS", 8.588203e+00, 9.969434e+00, 7.206973e+00
39,"Kennedy","OSBS", 7.394663e+00, 8.614922e+00, 6.174403e+00
40,"Kennedy","OSBS", 7.177993e+00, 8.804246e+00, 5.551740e+00
41,"Kennedy","OSBS", 6.804746e+00, 7.408323e+00, 6.201169e+00
42,"Kennedy","OSBS", 5.658330e+00, 7.267861e+00, 4.048799e+00
43,"Kennedy","OSBS", 6.632700e+00, 7.084841e+00, 6.180560e+00
44,"Kennedy","OSBS", 7.707505e+00, 8.308890e+00, 7.106119e+00
45,"Kennedy","OSBS", 7.381941e+00, 8.289087e+00, 6.474795e+00
46,"Kennedy","OSBS", 6.546818e+00, 7.659726e+00, 5.433910e+00
47,"Kennedy","OSBS", 6.613481e+00, 7.619647e+00, 5.607315e+00
48,"Kennedy","OSBS", 5.468482e+00, 6.624279e+00, 4.312685e+00
49,"Kennedy","OSBS", 5.237029e+00, 6.295562e+00, 4.178497e+00
50,"Kennedy","OSBS", 3.343701e+00, 4.369424e+00, 2.317977e+00
51,"Kennedy","OSBS", 8.078841e+00, 8.774047e+00, 7.383635e+00
52,"Kennedy","OSBS", 5.833779e+00, 7.648587e+00, 4.018971e+00
 1,"SRC","SRER", 4.081080e-01, 4.723240e-01, 3.438921e-01
 2,"SRC","SRER", 4.473273e-01, 5.094289e-01, 3.852258e-01
 3,"SRC","SRER", 4.677904e-01, 5.289409e-01, 4.066398e-01
 4,"SRC","SRER", 3.710057e-01, 4.202110e-01, 3.218004e-01
 5,"SRC","SRER", 5.182085e-01, 5.873669e-01, 4.490501e-01
 6,"SRC","SRER", 5.761520e-01, 6.364750e-01, 5.158290e-01
 7,"SRC","SRER", 5.635073e-01, 6.112614e-01, 5.157532e-01
 8,"SRC","SRER", 6.651951e-01, 7.304164e-01, 5.999738e-01
 9,"SRC","SRER", 6.095577e-01, 6.689881e-01, 5.501274e-01
10,"SRC","SRER", 8.036387e-01, 8.719158e-01, 7.353616e-01
11,"SRC","SRER", 9.343969e-01, 1.029852e+00, 8.389419e-01
12,"SRC","SRER", 9.212063e-01, 1.035279e+00, 8.071336e-01
13,"SRC","SRER", 9.364510e-01, 1.055124e+00, 8.177779e-01
14,"SRC","SRER", 8.537538e-01, 9.869789e-01, 7.205288e-01
15,"SRC","SRER", 8.441894e-01, 9.680875e-01, 7.202914e-01
16,"SRC","SRER", 6.398166e-01, 7.354193e-01, 5.442139e-01
17,"SRC","SRER", 5.160707e-01, 6.274916e-01, 4.046498e-01
18,"SRC","SRER", 5.688340e-01, 6.767923e-01, 4.608758e-01
19,"SRC","SRER", 4.189698e-01, 4.921273e-01, 3.458122e-01
20,"SRC","SRER", 2.845918e-01, 3.783303e-01, 1.908533e-01
21,"SRC","SRER", 1.475644e-01, 2.321042e-01, 6.302461e-02
22,"SRC","SRER", 1.897758e-01, 2.551186e-01, 1.244331e-01
23,"SRC","SRER", 1.627675e-01, 2.278605e-01, 9.767444e-02
24,"SRC","SRER", 1.490001e-01, 2.068147e-01, 9.118556e-02
25,"SRC","SRER", 6.079595e-02, 1.173925e-01, 4.199403e-03
26,"SRC","SRER", 1.802180e-01, 2.632640e-01, 9.717204e-02
27,"SRC","SRER", 4.624219e-01, 5.637352e-01, 3.611086e-01
28,"SRC","SRER", 5.562786e-01, 6.784704e-01, 4.340867e-01
29,"SRC","SRER", 1.159157e+00, 1.335065e+00, 9.832491e-01
30,"SRC","SRER", 1.277416e+00, 1.517853e+00, 1.036979e+00
31,"SRC","SRER", 1.509402e+00, 1.727720e+00, 1.291084e+00
32,"SRC","SRER", 1.250261e+00, 1.449623e+00, 1.050899e+00
33,"SRC","SRER", 1.056161e+00, 1.201941e+00, 9.103802e-01
34,"SRC","SRER", 9.249443e-01, 1.050215e+00, 7.996733e-01
35,"SRC","SRER", 8.044075e-01, 9.129634e-01, 6.958517e-01
36,"SRC","SRER", 9.145368e-01, 1.074029e+00, 7.550445e-01
37,"SRC","SRER", 1.253777e+00, 1.414833e+00, 1.092721e+00
38,"SRC","SRER", 1.188790e+00, 1.334325e+00, 1.043256e+00
39,"SRC","SRER", 8.494826e-01, 9.487588e-01, 7.502065e-01
40,"SRC","SRER", 6.454819e-01, 7.245920e-01, 5.663718e-01
41,"SRC","SRER", 5.450452e-01, 6.141655e-01, 4.759248e-01
42,"SRC","SRER", 3.966789e-01, 4.613662e-01, 3.319916e-01
43,"SRC","SRER", 3.440950e-01, 3.969125e-01, 2.912775e-01
44,"SRC","SRER", 2.371438e-01, 2.853317e-01, 1.889560e-01
45,"SRC","SRER", 1.369639e-01, 1.756515e-01, 9.827634e-02
46,"SRC","SRER", 1.861567e-01, 2.294934e-01, 1.428200e-01
47,"SRC","SRER", 1.171407e-01, 1.526005e-01, 8.168099e-02
48,"SRC","SRER", 7.546996e-02, 1.113494e-01, 3.959054e-02
49,"SRC","SRER", 8.511744e-02, 1.190136e-01, 5.122132e-02
50,"SRC","SRER", 1.146778e-01, 1.505401e-01, 7.881561e-02
51,"SRC","SRER", 1.431072e-01, 1.820143e-01, 1.042001e-01
52,"SRC","SRER", 1.557819e-01, 1.990521e-01, 1.125116e-01
53,"SRC","SRER", 2.906483e-01, 3.665865e-01, 2.147101e-01
 1,"SRG","SRER", 4.088353e-01, 4.974398e-01, 3.202309e-01
 2,"SRG","SRER", 3.717900e-01, 4.684193e-01, 2.751608e-01
 3,"SRG","SRER", 5.227338e-01, 6.180363e-01, 4.274312e-01
 4,"SRG","SRER", 4.851357e-01, 5.825323e-01, 3.877391e-01
 5,"SRG","SRER", 4.246520e-01, 5.379702e-01, 3.113337e-01
 6,"SRG","SRER", 5.236933e-01, 6.273957e-01, 4.199909e-01
 7,"SRG","SRER", 5.146099e-01, 6.025001e-01, 4.267197e-01
 8,"SRG","SRER", 6.612429e-01, 7.827200e-01, 5.397657e-01
 9,"SRG","SRER", 9.323331e-01, 1.044918e+00, 8.197483e-01
10,"SRG","SRER", 1.271715e+00, 1.394861e+00, 1.148569e+00
11,"SRG","SRER", 1.183489e+00, 1.331085e+00, 1.035893e+00
12,"SRG","SRER", 1.352228e+00, 1.473771e+00, 1.230685e+00
13,"SRG","SRER", 1.574623e+00, 1.720570e+00, 1.428677e+00
14,"SRG","SRER", 1.181143e+00, 1.329852e+00, 1.032435e+00
15,"SRG","SRER", 9.311400e-01, 1.067961e+00, 7.943187e-01
16,"SRG","SRER", 9.050665e-01, 1.043491e+00, 7.666418e-01
17,"SRG","SRER", 7.736724e-01, 8.703739e-01, 6.769709e-01
18,"SRG","SRER", 9.654339e-01, 1.053593e+00, 8.772746e-01
19,"SRG","SRER", 7.765977e-01, 8.498998e-01, 7.032957e-01
20,"SRG","SRER", 7.160139e-01, 7.856257e-01, 6.464021e-01
21,"SRG","SRER", 7.032238e-01, 7.731604e-01, 6.332873e-01
22,"SRG","SRER", 7.108318e-01, 7.708484e-01, 6.508152e-01
23,"SRG","SRER", 6.670929e-01, 7.382106e-01, 5.959751e-01
24,"SRG","SRER", 5.760276e-01, 6.448127e-01, 5.072425e-01
25,"SRG","SRER", 6.429242e-01, 7.078113e-01, 5.780371e-01
26,"SRG","SRER", 4.894354e-01, 5.926359e-01, 3.862349e-01
27,"SRG","SRER", 1.249492e+00, 1.443308e+00, 1.055677e+00
28,"SRG","SRER", 2.269127e+00, 2.610679e+00, 1.927576e+00
29,"SRG","SRER", 4.135324e+00, 4.584870e+00, 3.685778e+00
30,"SRG","SRER", 5.033902e+00, 5.466509e+00, 4.601294e+00
31,"SRG","SRER", 5.874356e+00, 6.386080e+00, 5.362633e+00
32,"SRG","SRER", 5.957412e+00, 6.616818e+00, 5.298007e+00
33,"SRG","SRER", 5.678589e+00, 6.245408e+00, 5.111770e+00
34,"SRG","SRER", 5.216679e+00, 5.707958e+00, 4.725400e+00
35,"SRG","SRER", 4.292351e+00, 4.804703e+00, 3.780000e+00
36,"SRG","SRER", 3.160727e+00, 3.591321e+00, 2.730133e+00
37,"SRG","SRER", 4.232451e+00, 4.719276e+00, 3.745625e+00
38,"SRG","SRER", 3.540230e+00, 3.985205e+00, 3.095255e+00
39,"SRG","SRER", 2.736515e+00, 3.123358e+00, 2.349672e+00
40,"SRG","SRER", 2.272459e+00, 2.582739e+00, 1.962179e+00
41,"SRG","SRER", 1.501586e+00, 1.728673e+00, 1.274500e+00
42,"SRG","SRER", 1.090854e+00, 1.263458e+00, 9.182492e-01
43,"SRG","SRER", 7.868085e-01, 9.199174e-01, 6.536996e-01
44,"SRG","SRER", 9.143071e-01, 1.051991e+00, 7.766236e-01
45,"SRG","SRER", 4.072435e-01, 4.817248e-01, 3.327622e-01
46,"SRG","SRER", 4.652784e-01, 5.336776e-01, 3.968792e-01
47,"SRG","SRER", 4.210573e-01, 5.286092e-01, 3.135055e-01
48,"SRG","SRER", 5.521497e-02, 2.037147e-01,-9.328476e-02
49,"SRG","SRER", 1.812045e-02, 1.374203e-01,-1.011794e-01
50,"SRG","SRER", 1.110988e-01, 1.607575e-01, 6.144018e-02
51,"SRG","SRER", 4.697744e-02, 1.068582e-01,-1.290333e-02
52,"SRG","SRER", 9.714547e-02, 1.612329e-01, 3.305804e-02
53,"SRG","SRER",-2.196868e-02, 1.528867e-02,-5.922602e-02
 1,"SRM","SRER", 1.244869e-01, 1.742573e-01, 7.471640e-02
 2,"SRM","SRER", 1.099325e-01, 1.485588e-01, 7.130616e-02
 3,"SRM","SRER", 6.124814e-03, 4.057405e-02,-2.832442e-02
 4,"SRM","SRER",-1.399353e-02, 2.029198e-02,-4.827904e-02
 5,"SRM","SRER",-1.119756e-01,-7.914434e-02,-1.448069e-01
 6,"SRM","SRER",-9.939137e-02,-6.021926e-02,-1.385635e-01
 7,"SRM","SRER",-3.324113e-02, 3.651926e-03,-7.013418e-02
 8,"SRM","SRER", 4.327079e-02, 7.981883e-02, 6.722764e-03
 9,"SRM","SRER", 7.883145e-02, 1.200069e-01, 3.765602e-02
10,"SRM","SRER", 2.469008e-01, 3.005546e-01, 1.932469e-01
11,"SRM","SRER", 3.120556e-01, 3.750823e-01, 2.490288e-01
12,"SRM","SRER", 2.512983e-01, 3.095234e-01, 1.930731e-01
13,"SRM","SRER", 2.416866e-01, 3.057852e-01, 1.775881e-01
14,"SRM","SRER", 3.270838e-01, 3.837344e-01, 2.704333e-01
15,"SRM","SRER", 3.535632e-01, 4.264398e-01, 2.806865e-01
16,"SRM","SRER", 5.135596e-01, 5.907576e-01, 4.363616e-01
17,"SRM","SRER", 7.634114e-01, 8.797732e-01, 6.470496e-01
18,"SRM","SRER", 8.914223e-01, 9.865729e-01, 7.962718e-01
19,"SRM","SRER", 8.123123e-01, 9.002914e-01, 7.243332e-01
20,"SRM","SRER", 7.301769e-01, 8.020273e-01, 6.583266e-01
21,"SRM","SRER", 7.176838e-01, 7.936999e-01, 6.416676e-01
22,"SRM","SRER", 6.864233e-01, 7.538542e-01, 6.189923e-01
23,"SRM","SRER", 6.159127e-01, 6.695363e-01, 5.622891e-01
24,"SRM","SRER", 5.414801e-01, 6.169167e-01, 4.660435e-01
25,"SRM","SRER", 3.915809e-01, 4.548663e-01, 3.282954e-01
26,"SRM","SRER", 3.279830e-01, 3.929978e-01, 2.629682e-01
27,"SRM","SRER", 6.015259e-01, 6.871125e-01, 5.159392e-01
28,"SRM","SRER", 1.444546e+00, 1.584305e+00, 1.304786e+00
29,"SRM","SRER", 2.431473e+00, 2.654945e+00, 2.208002e+00
30,"SRM","SRER", 3.460901e+00, 3.741371e+00, 3.180430e+00
31,"SRM","SRER", 4.196499e+00, 4.454566e+00, 3.938431e+00
32,"SRM","SRER", 4.465356e+00, 4.744622e+00, 4.186090e+00
33,"SRM","SRER", 4.671597e+00, 4.913888e+00, 4.429305e+00
34,"SRM","SRER", 4.410295e+00, 4.663587e+00, 4.157003e+00
35,"SRM","SRER", 4.012768e+00, 4.283894e+00, 3.741641e+00
36,"SRM","SRER", 3.294848e+00, 3.548192e+00, 3.041504e+00
37,"SRM","SRER", 3.678701e+00, 3.918175e+00, 3.439227e+00
38,"SRM","SRER", 3.066828e+00, 3.286809e+00, 2.846848e+00
39,"SRM","SRER", 2.248529e+00, 2.426410e+00, 2.070648e+00
40,"SRM","SRER", 1.842565e+00, 1.980700e+00, 1.704430e+00
41,"SRM","SRER", 1.516421e+00, 1.630144e+00, 1.402698e+00
42,"SRM","SRER", 1.433343e+00, 1.531771e+00, 1.334916e+00
43,"SRM","SRER", 1.156723e+00, 1.251292e+00, 1.062154e+00
44,"SRM","SRER", 8.846789e-01, 9.635066e-01, 8.058512e-01
45,"SRM","SRER", 7.451917e-01, 8.075746e-01, 6.828088e-01
46,"SRM","SRER", 7.481903e-01, 8.111285e-01, 6.852522e-01
47,"SRM","SRER", 6.210030e-01, 6.806930e-01, 5.613131e-01
48,"SRM","SRER", 4.195504e-01, 4.883547e-01, 3.507461e-01
49,"SRM","SRER", 2.143217e-01, 2.673341e-01, 1.613094e-01
50,"SRM","SRER", 1.695634e-01, 2.107201e-01, 1.284066e-01
51,"SRM","SRER", 1.711694e-01, 2.145058e-01, 1.278330e-01
52,"SRM","SRER", 1.064830e-01, 1.519065e-01, 6.105953e-02
53,"SRM","SRER", 3.107349e-01, 4.339912e-01, 1.874786e-01
